time	temp	oxy	light	PST
1510162200	0.811785	11.825401	2388.4821	11/8/2017 9:30
1510162800	0.834094	11.804778	2393.4894	11/8/2017 9:40
1510163400	0.867534	11.797308	2683.9128	11/8/2017 9:50
1510164000	0.889811	11.786103	2263.2996	11/8/2017 10:00
1510164600	0.912075	11.774915	2093.0514	11/8/2017 10:10
1510165200	0.923202	11.75999	2233.2558	11/8/2017 10:20
1510165800	0.956565	11.780617	2819.1099	11/8/2017 10:30
1510166400	0.978792	11.760119	2613.8106	11/8/2017 10:40
1510167000	1.001005	11.767659	2934.2778	11/8/2017 10:50
1510167600	1.034302	11.760303	3184.6428	11/8/2017 11:00
1510168200	1.056484	11.749192	2899.2267	11/8/2017 11:10
1510168800	1.078653	11.728781	3470.0589	11/8/2017 11:20
1510169400	1.10081	11.727022	4321.2999	11/8/2017 11:30
1510170000	1.145087	11.695632	4286.2488	11/8/2017 11:40
1510170600	1.167206	11.703193	3825.5772	11/8/2017 11:50
1510171200	1.189313	11.673624	4381.3875	11/8/2017 12:00
1510171800	1.200362	11.677403	3354.891	11/8/2017 12:10
1510172400	1.22245	11.675695	3860.6283	11/8/2017 12:20
1510173000	1.22245	11.666425	3475.0662	11/8/2017 12:30
1510173600	1.233489	11.642436	3054.453	11/8/2017 12:40
1510174200	1.244525	11.655466	3630.2925	11/8/2017 12:50
1510174800	1.266589	11.653777	3565.1976	11/8/2017 13:00
1510175400	1.28864	11.624363	2643.8544	11/8/2017 13:10
1510176000	1.299661	11.628145	2393.4894	11/8/2017 13:20
1510176600	1.299661	11.628145	2323.3872	11/8/2017 13:30
1510177200	1.321693	11.617248	2278.3215	11/8/2017 13:40
1510177800	1.321693	11.608023	1797.6207	11/8/2017 13:50
1510178400	1.332704	11.602586	1632.3798	11/8/2017 14:00
1510179000	1.354718	11.591723	1887.7521	11/8/2017 14:10
1510179600	1.354718	11.591723	2598.7887	11/8/2017 14:20
1510180200	1.365721	11.595505	2288.3361	11/8/2017 14:30
1510180800	1.37672	11.590081	1637.3871	11/8/2017 14:40
1510181400	1.37672	11.580878	1857.7083	11/8/2017 14:50
1510182000	1.387716	11.58466	2108.0733	11/8/2017 15:00
1510182600	1.387716	11.58466	976.4235	11/8/2017 15:10
1510183200	1.37672	11.571682	701.022	11/8/2017 15:20
1510183800	1.365721	11.577099	806.1753	11/8/2017 15:30
1510184400	1.354718	11.573323	786.1461	11/8/2017 15:40
1510185000	1.332704	11.584169	440.6424	11/8/2017 15:50
1510185600	1.321693	11.580399	180.2628	11/8/2017 16:00
1510186200	1.310678	11.595033	175.2555	11/8/2017 16:10
1510186800	1.299661	11.591263	65.0949	11/8/2017 16:20
1510187400	1.299661	11.609688	30.0438	11/8/2017 16:30
1510188000	1.28864	11.605914	20.0292	11/8/2017 16:40
1510188600	1.28864	11.587496	10.0146	11/8/2017 16:50
1510189200	1.277616	11.592934	0	11/8/2017 17:00
1510189800	1.277616	11.602144	0	11/8/2017 17:10
1510190400	1.277616	11.602144	0	11/8/2017 17:20
1510191000	1.266589	11.598378	0	11/8/2017 17:30
1510191600	1.277616	11.583733	0	11/8/2017 17:40
1510192200	1.277616	11.583733	0	11/8/2017 17:50
1510192800	1.277616	11.583733	0	11/8/2017 18:00
1510193400	1.28864	11.587496	0	11/8/2017 18:10
1510194000	1.277616	11.583733	0	11/8/2017 18:20
1510194600	1.277616	11.602144	0	11/8/2017 18:30
1510195200	1.277616	11.583733	0	11/8/2017 18:40
1510195800	1.266589	11.579973	0	11/8/2017 18:50
1510196400	1.266589	11.570784	0	11/8/2017 19:00
1510197000	1.266589	11.570784	0	11/8/2017 19:10
1510197600	1.266589	11.589172	0	11/8/2017 19:20
1510198200	1.266589	11.579973	0	11/8/2017 19:30
1510198800	1.266589	11.570784	0	11/8/2017 19:40
1510199400	1.255559	11.576218	0	11/8/2017 19:50
1510200000	1.255559	11.585413	0	11/8/2017 20:00
1510200600	1.266589	11.570784	0	11/8/2017 20:10
1510201200	1.277616	11.574539	0	11/8/2017 20:20
1510201800	1.277616	11.556175	0	11/8/2017 20:30
1510202400	1.28864	11.559927	0	11/8/2017 20:40
1510203000	1.299661	11.563683	0	11/8/2017 20:50
1510203600	1.299661	11.563683	0	11/8/2017 21:00
1510204200	1.299661	11.572869	0	11/8/2017 21:10
1510204800	1.310678	11.567442	0	11/8/2017 21:20
1510205400	1.299661	11.554505	0	11/8/2017 21:30
1510206000	1.310678	11.549088	0	11/8/2017 21:40
1510206600	1.310678	11.549088	0	11/8/2017 21:50
1510207200	1.321693	11.552844	0	11/8/2017 22:00
1510207800	1.321693	11.552844	0	11/8/2017 22:10
1510208400	1.321693	11.543674	0	11/8/2017 22:20
1510209000	1.321693	11.543674	0	11/8/2017 22:30
1510209600	1.332704	11.538266	0	11/8/2017 22:40
1510210200	1.321693	11.534513	0	11/8/2017 22:50
1510210800	1.332704	11.529108	0	11/8/2017 23:00
1510211400	1.343713	11.523708	0	11/8/2017 23:10
1510212000	1.343713	11.532862	0	11/8/2017 23:20
1510212600	1.332704	11.519959	0	11/8/2017 23:30
1510213200	1.332704	11.519959	0	11/8/2017 23:40
1510213800	1.332704	11.538266	0	11/8/2017 23:50
1510214400	1.332704	11.510817	0	11/9/2017 0:00
1510215000	1.343713	11.514562	0	11/9/2017 0:10
1510215600	1.332704	11.510817	0	11/9/2017 0:20
1510216200	1.332704	11.510817	0	11/9/2017 0:30
1510216800	1.343713	11.532862	0	11/9/2017 0:40
1510217400	1.343713	11.523708	0	11/9/2017 0:50
1510218000	1.332704	11.529108	0	11/9/2017 1:00
1510218600	1.310678	11.521613	0	11/9/2017 1:10
1510219200	1.277616	11.510398	0	11/9/2017 1:20
1510219800	1.277616	11.547004	0	11/9/2017 1:30
1510220400	1.277616	11.528685	0	11/9/2017 1:40
1510221000	1.28864	11.532427	0	11/9/2017 1:50
1510221600	1.28864	11.532427	0	11/9/2017 2:00
1510222200	1.299661	11.536173	0	11/9/2017 2:10
1510222800	1.277616	11.501266	0	11/9/2017 2:20
1510223400	1.277616	11.528685	0	11/9/2017 2:30
1510224000	1.277616	11.528685	0	11/9/2017 2:40
1510224600	1.299661	11.517872	0	11/9/2017 2:50
1510225200	1.299661	11.517872	0	11/9/2017 3:00
1510225800	1.310678	11.51247	0	11/9/2017 3:10
